Date,Ticker,Name,Open,High,Low,Close, Volume ,,,
21/06/2021,Fb,"Facebook, Inc.",331.09,332.92,327.65,332.29,"11,337,500",,,
22/06/2021,Fb,"Facebook, Inc.",332.69,339.92,332.60,339.03,"15,345,300",,,
23/06/2021,Fb,"Facebook, Inc.",339.35,343.42,338.20,340.59,"14,817,800",,,
24/06/2021,Fb,"Facebook, Inc.",341.85,344.90,341.79,343.18,"12,329,100",,,
25/06/2021,Fb,"Facebook, Inc.",342.59,344.12,339.68,341.37,"14,594,400",,,
6/28/2021,Fb,"Facebook, Inc.",342.46,358.14,341.77,355.64,"29,156,100",,,
29/06/2021,Fb,"Facebook, Inc.",356.27,356.74,349.05,351.89,"21,417,300",,,
30/06/2021,Fb,"Facebook, Inc.",352.17,352.92,347.17,347.71,"15,107,500",,,
1/7/2021,Fb,"Facebook, Inc.",346.82,354.67,346.50,354.39,"17,137,000",,,
2/7/2021,Fb,"Facebook, Inc.",355.10,356.44,352.62,354.70,"11,521,300",,,"Facebook, Inc."
21/06/2021,Amzn,"Amazon.com, Inc.",3476.42,3482.00,3434.00,3453.96,"3,277,100",,,"Amazon.com, Inc."
22/06/2021,Amzn,"Amazon.com, Inc.",3458.06,3523.78,3456.09,3505.44,"3,345,100",,,"Tesla, Inc."
23/06/2021,Amzn,"Amazon.com, Inc.",3505.00,3521.00,3483.20,3503.82,"2,813,300",,,
24/06/2021,Amzn,"Amazon.com, Inc.",3507.64,3524.86,3430.85,3449.08,"3,832,000",,,Fb
25/06/2021,Amzn,"Amazon.com, Inc.",3464.00,3464.82,3394.18,3401.46,"3,941,000",,,Amzn
28/06/2021,Amzn,"Amazon.com, Inc.",3416.00,3448.00,3413.51,3443.89,"2,242,800",,,Tsla
29/06/2021,Amzn,"Amazon.com, Inc.",3438.82,3456.03,3423.03,3448.14,"2,098,400",,,
30/06/2021,Amzn,"Amazon.com, Inc.",3441.06,3471.60,3435.00,3440.16,"2,404,000",,,
1/7/2021,Amzn,"Amazon.com, Inc.",3434.61,3457.00,3409.42,3432.97,"2,037,100",,,
2/7/2021,Amzn,"Amazon.com, Inc.",3451.64,3511.72,3436.92,3510.98,"3,169,400",,,
21/06/2021,Tsla,"Tesla, Inc.",624.48,631.39,608.88,620.83,"24,812,700",,,
22/06/2021,Tsla,"Tesla, Inc.",618.25,628.57,615.50,623.71,"19,158,900",,,
23/06/2021,Tsla,"Tesla, Inc.",632.00,657.20,630.04,656.57,"31,099,200",,,
24/06/2021,Tsla,"Tesla, Inc.",674.99,697.62,667.61,679.82,"45,982,400",,,
25/06/2021,Tsla,"Tesla, Inc.",689.58,693.81,668.70,671.87,"32,496,700",,,
28/06/2021,Tsla,"Tesla, Inc.",671.64,694.70,670.32,688.72,"21,628,200",,,
29/06/2021,Tsla,"Tesla, Inc.",684.65,687.51,675.89,680.76,"17,381,300",,,
30/06/2021,Tsla,"Tesla, Inc.",679.77,692.81,678.14,679.70,"18,924,900",,,
7/1/2021,Tsla,"Tesla, Inc.",683.92,687.99,672.80,677.92,"18,634,500",,,
7/2/2021,Tsla,"Tesla, Inc.",678.98,700.00,673.26,678.90,"27,054,500",,,
